CAM_SET_INTERPOLATION_DETAILS                          0x5AAC39C1   void CAM_SET_INTERPOLATION_DETAILS(int)
CAM_SET_INTERP_STATE_SRC                               0x47E61637   void CAM_SET_INTERP_STATE_SRC(int cam, int)
CAN_BE_DESCRIBED_AS_A_CAR                              0x79103802   boolean CAN_BE_DESCRIBED_AS_A_CAR(Vehicle veh)
CAN_CHAR_SEE_DEAD_CHAR                                 0x7ED82ED9   boolean CAN_CHAR_SEE_DEAD_CHAR(Ped ped, Ped pednext)
CAN_FONT_BE_LOADED                                     0x1E2A5820   boolean CAN_FONT_BE_LOADED(int fontid)
CAN_PED_SHIMMY_IN_DIRECTION                            0x6D1E5C25   boolean CAN_PED_SHIMMY_IN_DIRECTION(Ped ped, int direction)
CAN_REGISTER_MISSION_ENTITIES                          0x66FD3CFC   -
CAN_RENDER_RADIOHUD_SPRITE_IN_MOBILE_PHONE             0x58F209BD   -
CELL_CAM_SET_COLOUR_BRIGHTNESS                         0x4ECB189E   void CELL_CAM_SET_COLOUR_BRIGHTNESS(float, float, float, float)
CHANGE_BLIP_NAME_TO_PLAYER_NAME                        0x731B11A7   void CHANGE_BLIP_NAME_TO_PLAYER_NAME(int blip, int playerid)
CHANGE_BLIP_ROTATION                                   0x3AF307B1   void CHANGE_BLIP_ROTATION(int blip, int rotation)
CHANGE_BLIP_TEAM_RELEVANCE                             0x4B2625BE   void CHANGE_BLIP_TEAM_RELEVANCE(int blip, int relevance)
CHANGE_PLAYER_PHONE_MODEL                              0x7F2A71FD   void CHANGE_PLAYER_PHONE_MODEL(int player, uint model)
CHANGE_PLAYER_PHONE_MODEL_OFFSETS                      0x481E2BE7   void CHANGE_PLAYER_PHONE_MODEL_OFFSETS(int player, float x0, float y0, float z0, float x1, float y1, float z1)
CHANGE_TERRITORY_BLIP_SCALE                            0x35A250C2   void CHANGE_TERRITORY_BLIP_SCALE(int blip, float, float)
CHEAT_HAPPENED_RECENTLY                                0x7488454D   boolean CHEAT_HAPPENED_RECENTLY(int cheat, int time)
CLAN_IS_PENDING                                        0x34F0C37    -
CLEAR_ALL_CHAR_RELATIONSHIPS                           0x57297D58   void CLEAR_ALL_CHAR_RELATIONSHIPS(Ped ped, int relgroup)
CLEAR_CUTSCENE                                         0x79611458   void CLEAR_CUTSCENE(void)
CLEAR_EVENT_PRECEDENCE                                 0x1CC41C5E   -
CLEAR_OBJECT_LAST_WEAPON_DAMAGE                        0x15F11BAB   void CLEAR_OBJECT_LAST_WEAPON_DAMAGE(Object obj)
CLEAR_PLAYER_HAS_DAMAGED_AT_LEAST_ONE_VEHICLE          0x26AA20CF   void CLEAR_PLAYER_HAS_DAMAGED_AT_LEAST_ONE_VEHICLE(int player)
CLEAR_ROOM_FOR_DUMMY_CHAR                              0x2E373084   -
CLEAR_THIS_BIG_PRINT                                   0x4A4F2699   void CLEAR_THIS_BIG_PRINT(char *gxtentry)
CLEAR_UP_TRIP_SKIP                                     0x75F069D9   -
CLONE_CAM                                              0x483E5BE8   void CLONE_CAM(int cam, int *camcopy)
CLOSE_MIC_PED                                          0x14B06047   void CLOSE_MIC_PED(int id, Ped ped)
CONNECT_LODS                                           0x79EB2BC9   void CONNECT_LODS(Object obj0, Object obj1)
CONVERT_METRES_TO_FEET                                 0x4D2771CE   float CONVERT_METRES_TO_FEET(float metres)
CONVERT_METRES_TO_FEET_INT                             0x1A05ADD    int CONVERT_METRES_TO_FEET_INT(int metres)
CONVERT_THEN_ADD_STRING_TO_HTML_SCRIPT_OBJECT          0x72EC0AA6   void CONVERT_THEN_ADD_STRING_TO_HTML_SCRIPT_OBJECT(int htmlobj, char *strgxtkey)
COS                                                    0x61D4B5F    float COS(float value)
CREATE_CARS_ON_GENERATORS_IN_AREA                      0xD940AF4    void CREATE_CARS_ON_GENERATORS_IN_AREA(float x0, float y0, float z0, float x1, float y1, float z1)
CREATE_CAR_GENERATOR_WITH_PLATE                        0x1A6E1448   -
CREATE_DUMMY_CHAR                                      0x44FF276B   -
CREATE_MENU                                            0x7DCA398F   void CREATE_MENU(char *gxtentry, ScriptAny, ScriptAny, ScriptAny, ScriptAny, ScriptAny, ScriptAny, ScriptAny, int *menuid)
CREATE_RANDOM_CAR_FOR_CAR_PARK                         0x36DA42AF   void CREATE_RANDOM_CAR_FOR_CAR_PARK(float x, float y, float z, float radius)
CREATE_USER_3D_MARKER                                  0x77513211   -
CREATE_VIEWPORT                                        0x13134CCD   void CREATE_VIEWPORT(int *viewport)
DAMAGE_CAR                                             0x2D2B208A   -
DEACTIVATE_SCRIPT_POPULATION_ZONE                      0x66BB737D   void DEACTIVATE_SCRIPT_POPULATION_ZONE(void)
DEBUG_ON                                               0x4B2103F0   -
DECREMENT_FLOAT_STAT                                   0x754000C    void DECREMENT_FLOAT_STAT(int stat, float val)
DEFINE_PED_GENERATION_CONSTRAINT_AREA                  0x991172D    void DEFINE_PED_GENERATION_CONSTRAINT_AREA(float x, float y, float z, float radius)
DELETE_DUMMY_CHAR                                      0x73F55AEF   -
DELETE_MENU                                            0x252138B3   void DELETE_MENU(int menuid)
DELETE_MISSION_TRAINS                                  0x7D635E2C   void DELETE_MISSION_TRAINS(void)
DELETE_PLAYER                                          0x627A3586   void DELETE_PLAYER(void)
DELETE_WIDGET                                          0x267D5146   -
DESTROY_ALL_SCRIPT_VIEWPORTS                           0x5E4327D2   void DESTROY_ALL_SCRIPT_VIEWPORTS(void)
DESTROY_PED_GENERATION_CONSTRAINT_AREA                 0x3CC5682F   void DESTROY_PED_GENERATION_CONSTRAINT_AREA(void)
DETACH_CAM_FROM_VIEWPORT                               0x1DEA65DE   void DETACH_CAM_FROM_VIEWPORT(int)
DETACH_OBJECT_NO_COLLIDE                               0x6B2E49CD   void DETACH_OBJECT_NO_COLLIDE(Object obj, boolean flag)
DISABLE_DEBUG_CAM_AND_PLAYER_WARPING                   0x1A1473B0   -
DISABLE_HELI_CHASE_CAM_BONNET_NITRO_FIX                0x19A73E70   void DISABLE_HELI_CHASE_CAM_BONNET_NITRO_FIX(void)
DISABLE_HELI_CHASE_CAM_THIS_UPDATE                     0x78D17492   void DISABLE_HELI_CHASE_CAM_THIS_UPDATE(void)
DISABLE_INTERMEZZO_CAMS                                0x3DA200CB   void DISABLE_INTERMEZZO_CAMS(void)
DISABLE_LOCAL_PLAYER_PICKUPS                           0x19211E9D   void DISABLE_LOCAL_PLAYER_PICKUPS(boolean disable)
DISABLE_PLAYER_AUTO_VEHICLE_EXIT                       0x50E33E8F   void DISABLE_PLAYER_AUTO_VEHICLE_EXIT(Ped ped, boolean disable)
DISABLE_PLAYER_VEHICLE_ENTRY                           0x5D51783    void DISABLE_PLAYER_VEHICLE_ENTRY(int player, boolean disable)
DISABLE_STICKY_BOMB_ACTIVE_SOUND                       0xC2D2CC5    void DISABLE_STICKY_BOMB_ACTIVE_SOUND(Ped ped, boolean disable)
DISPLAY_ALTIMETER_THIS_FRAME                           0x50C13702   void DISPLAY_ALTIMETER_THIS_FRAME(void)
DISPLAY_GRIME_THIS_FRAME                               0x56B95223   void DISPLAY_GRIME_THIS_FRAME(void)
DISPLAY_LOADING_THIS_FRAME_WITH_SCRIPT_SPRITES         0x38A10933   void DISPLAY_LOADING_THIS_FRAME_WITH_SCRIPT_SPRITES(void)
DISPLAY_NTH_ONSCREEN_COUNTER_WITH_STRING               0x4D9C4195   void DISPLAY_NTH_ONSCREEN_COUNTER_WITH_STRING(int, int, int, char *str)
DISPLAY_ONSCREEN_TIMER_WITH_STRING                     0x384F104F   void DISPLAY_ONSCREEN_TIMER_WITH_STRING(int timerid, boolean, char *str)
DISPLAY_PLAYER_ICONS                                   0x39B22A89   -
DISPLAY_TEXT_SUBSTRING                                 0xDA61310    -
DISPLAY_TEXT_WITH_3_NUMBERS                            0x746C06E8   void DISPLAY_TEXT_WITH_3_NUMBERS(float x, float y, char *gxtentry, int, int, int)
DISPLAY_TEXT_WITH_BLIP_NAME                            0x7E8D1DCE   void DISPLAY_TEXT_WITH_BLIP_NAME(float x, float y, char *str, int blip)
DISPLAY_TEXT_WITH_LITERAL_SUBSTRING                    0x1FCB5241   -
DISPLAY_TEXT_WITH_STRING_AND_INT                       0x369A4540   void DISPLAY_TEXT_WITH_STRING_AND_INT(float x, float y, char *gxtname, char *gxtnamenext, int val)
DISPLAY_TEXT_WITH_SUBSTRING_GIVEN_HASH_KEY             0x7EF6599D   void DISPLAY_TEXT_WITH_SUBSTRING_GIVEN_HASH_KEY(float x, float y, char *gxtkey, uint gxtkey0)
DISPLAY_TEXT_WITH_TWO_SUBSTRINGS_GIVEN_HASH_KEYS       0x39E77F70   void DISPLAY_TEXT_WITH_TWO_SUBSTRINGS_GIVEN_HASH_KEYS(float x, float y, char *gxtkey, uint gxtkey0, uint gxtkey1)
